IT DR PLANNING,,,,,,,,,IT DR TESTING,,,,,,,,,,
Task ID.,Predecessor Task ID,,Task,Planned Effort (Mins),Tasks (Individual/Group),Resource ,Status,Comments,Required for Tabletop Test,Required for QFDR Test,Required for Physical Test,Status,Date Completed,Actioned by,Start Time (HH:MM),End Time (HH:MM),Actual Duration,Test Result (Pass/Fail),Testing Notes
16,15,,Validate Function App DR archive scenario.,20,Group,AIS Support,,"Run TECHONE_FILES_ARCHIVE. Confirm TechOneFileArchiveProcessor copies techone-pol/STAGE files into the archive container.",Yes,Yes,Yes,,,,,,0:00,,
17,16,,Validate APIM / Inflo DR scenario and Key Vault dependency resolution.,30,Group,"AIS Support
Applications",,"Run WORKSPACE. Confirm DR function resolves secrets from kv-prd-ae-pol and can update Altus through APIM.",Yes,Yes,Yes,,,,,,0:00,,
18,17,,Confirm application and vendor outcomes for DR validation.,20,Group,"Applications
External Vendors",,"Obtain confirmation that files landed correctly and Altus-facing results match expected business behavior.",Yes,Yes,Yes,,,,,,0:00,,
19,18,,Record blockers, remediation items, and continue/stop decision.,15,Group,AIS Support,,"Capture shared dependency risks, config drift, and any residual production impact. Escalate blockers before closing recovery mode.",Yes,Yes,Yes,,,,,,0:00,,
20,19,,Recovery validation sign-off.,10,Group,AIS Support,,"Exercise lead confirms objectives met or deferred with actions.",Yes,Yes,Yes,,,,,,0:00,,
Recovery Mode Total Estimated Effort (H:MM),,,,3:00,Recovery Mode Total Actual Effort (H:MM),,,,,,,,,,,,0:00,,
Exit Criteria (Including Technical Verification & Business Verification Testing),,,,,,,,,,,,,,,,,,,
21,n/a,,Disable DR workflows/triggers and revert temporary filters or file-specific logic.,20,Group,AIS Support,,"Return DR logic, ADF, and temporary workflow changes to the agreed post-test state.",Yes,Yes,Yes,,,,,,0:00,,
22,21,,Reconfirm primary ASE processing settings and remove temporary exclusions.,15,Group,"AIS Support
Applications",,"Ensure no unintended PROD workflow, trigger, or routing changes remain after the exercise.",Yes,Yes,Yes,,,,,,0:00,,
23,22,,Verify AIS and Application Azure services are healthy and have no residual errors.,30,Group,AIS Support,,"Check ADF, Function App, Logic App, Key Vault, Storage, and monitoring posture in both agreed regions.",Yes,Yes,Yes,,,,,,0:00,,
24,23,,Verify third-party and shared dependencies are back to the agreed operating state.,20,Group,External Vendors,,"Confirm TechOne, SFTP shares, Altus/APIM, and Dataverse dependency state after the exercise.",Yes,Yes,Yes,,,,,,0:00,,
25,24,,Close exercise and capture actions, owners, due dates, and final outcome.,20,Group,"AIS Support
System Manager",,"Testing notes must contain final pass/fail, remediation summary, and follow-up owner for each gap.",Yes,Yes,Yes,,,,,,0:00,,
Exit Criteria Total Estimated Effort (H:MM),,,,1:45,Exit Criteria Total Actual Effort (H:MM),,,,,,,,,,,,0:00,,
Total Estimated Recovery Effort (H:MM):,,,,6:10,Total Actual Recovery Effort (H:MM):,,,,,,,,,,,,0:00,,
