Details for Count of Status - Integration Category: Hybrid: On-premise to Cloud,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Phase 1,08-DevConnect,MW.DSSCon.PegaESRIIntegration.DrainageInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 09:42:47,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.FloodInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 09:45:18,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.GetGISAssetInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 09:51:33,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.MapSitePolygon,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 10:07:26,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.NearbyCases,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 10:10:03,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.PropertyInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 10:12:46,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.SchemeInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 10:15:20,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaESRIIntegration.SpecialInfo,Pega ,ESRI,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 10:17:44,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,17-Incentive,MW.Incentive.Grants.GetPropertyInfo,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:34:48,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,08-DevConnect,MW.DSSCon.PegaMaximo.GetContRates,Pega ,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 10:24:41,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,08-DevConnect,MW.DSSCon.PegaMaximo.UpdateContPayment,Pega ,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2019-07-02 10:28:19,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,17-Incentive,MW.Incentive.Grants.ESRIMapImageImport,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:32:25,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,9-Chris21,MW.EnterpriseServices.ESRIMapImageImport,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-03 02:06:08,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,17-Incentive,MW.Incentive.Grants.BusinessRules,Pega,ESRI,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2021-10-01 07:30:13,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.TokenRefresh,BizTalk,Zycus,Hybrid: On-premise to Cloud,API,Schedule,every 8 hrs,PROD,CAPEX,2020-09-04 02:36:45,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.Events,Zycus,BizTalk,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2020-09-04 02:00:42,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.Common,only common techincal code related to integrations is present no buisness functinality,,Hybrid: On-premise to Cloud,,,Real Time,PROD,CAPEX,2020-09-04 01:21:19,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,16-Zycus,MW.Zycus.Inflo.Contract,Zycus,Inflo,Hybrid: On-premise to Cloud,API,,Real Time,PROD,CAPEX,2020-10-20 06:07:40,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,12-DFWS,MW.DFWS.Invoice.ServiceReceipts,Finance One,Maximo,Hybrid: On-premise to Cloud,API,,Real Time,PROD,HYBRID,2019-07-13 00:21:13,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,12-DFWS,MW.DFWS.Projects.PurchaseOrder,Finance One,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2024-11-25 07:57:15,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,12-DFWS,MW.DFWS.Projects.PurchaseRequisition,Maximo,Finance One,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2025-09-12 00:23:26,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,12-DFWS,MW.Techone.TokenandUtilities,BizTalk,Finance One,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2025-09-12 03:24:54,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,12-DFWS,MW.DFWS.Reimbursement.Payments,Maximo,Finance One,Hybrid: On-premise to Cloud,API,,,PROD,HYBRID,2025-09-12 00:26:46,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,15-IDAM,MW.Chris21.Common,BizTalk,Chris21,Hybrid: On-premise to Cloud,API,Schedule,Every 29 min,PROD,HYBRID,2019-12-05 03:37:38,"Part of a group of systems for which the entire code will need to be re-written. This will be owned and managed by MW. The on‑prem custom integration layer (adapters, transformation services, BizTalk Integration artefacts will be owned and controlled by MW."
,14-Procurement ,MW.Procurement.PurchaseRequisition,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2022-06-24 08:29:01,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.PurchaseOrder,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2022-08-18 07:15:25,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.GoodsReceipt,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2020-04-02 06:07:25,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,14-Procurement ,MW.Procurement.Invoice,Finance One/Programmed,Maximo,Hybrid: On-premise to Cloud,API,,,PROD,CAPEX,2021-10-15 06:33:51,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,03-Kronos-Maximo,MW.Kronos.Common,common which supports integrations,Kronos,Hybrid: On-premise to Cloud,API,,,,CAPEX,2020-11-06 01:43:57,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
,05-Project Online,MW.P3I.CommonComponents,only common techincal code related to integrations is present no buisness functinality,FinanceOne,Hybrid: On-premise to Cloud,,,,,CAPEX,2019-07-02 11:16:14,Custom integration components deployed in MW controlled environments. Enhances internal software assets with multi‑period benefit
